id;airport_code;airport_name;aiport_country_code;airport_elevation;airport_continent
1;TUG;Tuguegarao Airport;PH;70;AS
2;HSZ;Hsinchu Air Base;TW;26;AS
3;IOM;Isle of Man Airport;IM;52;EU
4;VLV;Dr. Antonio Nicolás Briceño Airport;VE;2060;SA
5;BWO;Balakovo Airport;RU;95;EU
6;NGS;Nagasaki Airport;JP;15;AS
7;MUY;Mouyondzi Airport;CG;1670;AF
8;TKC;Tiko Airport;CM;151;AF
9;OEA;O'Neal Airport;US;414;NA
10;SEX;Sembach Air Base;DE;1050;EU
11;YFH;Fort Hope Airport;CA;899;NA
12;GYS;Guangyuan Airport;CN;;AS
13;FRY;Eastern Slopes Regional Airport;US;454;NA
14;AJR;Arvidsjaur Airport;SE;1245;EU
15;HGU;Mount Hagen Kagamuga Airport;PG;5388;OC
16;AWK;Wake Island Airfield;UM;14;OC
17;KGO;Kirovograd Airport;UA;568;EU
18;CHM;Teniente FAP Jaime A De Montreuil Morales Airport;PE;69;SA
19;YRO;Ottawa / Rockcliffe Airport;CA;188;NA
20;ANQ;Tri State Steuben County Airport;US;995;NA
21;BIL;Billings Logan International Airport;US;3652;NA
22;NAH;Naha Airport;ID;16;AS
23;TLA;Teller Airport;US;294;NA
24;BYV;Beira Lake Seaplane Base;LK;17;AS
25;SNA;John Wayne Airport-Orange County Airport;US;56;NA
26;RKP;Aransas County Airport;US;24;NA
27;KVE;Kitava Airport;PG;194;OC
28;BMR;Baltrum Airport;DE;7;EU
29;KTX;Koutiala Airport;ML;1240;AF
30;ACA;General Juan N Alvarez International Airport;MX;16;NA
31;PSI;Pasni Airport;PK;33;AS
32;BML;Berlin Regional Airport;US;1161;NA
33;GMZ;La Gomera Airport;ES;716;EU
34;TLS;Toulouse-Blagnac Airport;FR;499;EU
35;BTY;Beatty Airport;US;3170;NA
36;CMK;Club Makokola Airport;MW;1587;AF
37;RKP;Aransas County Airport;US;24;NA
38;OKL;Oksibil Airport;ID;4315;AS
39;RMY;Mariposa Yosemite Airport;US;2254;NA
40;ISL;Atatürk International Airport;TR;163;AS
41;PNB;Porto Nacional Airport;BR;870;SA
42;TDS;Sasereme Airport;PG;121;OC
43;YTY;Yangzhou Taizhou Airport;CN;7;AS
44;MGX;Moabi Airport;GA;787;AF
45;IRB;Iraan Municipal Airport;US;2200;NA
46;BEC;Beech Factory Airport;US;1408;NA
47;MSA;Muskrat Dam Airport;CA;911;NA
48;OAH;Shindand Airport;AF;3773;AS
49;EMM;Kemmerer Municipal Airport;US;7285;NA
50;BXD;Bade Airport;ID;59;AS
51;HUK;Hukuntsi Airport;BW;3720;AF
52;GIR;Santiago Vila Airport;CO;900;SA
53;KHR;Kharkhorin Airport;MN;4759;AS
54;DWC;Al Maktoum International Airport;AE;114;AS
55;UBT;Ubatuba Airport;BR;13;SA
56;MVF;Dix-Sept Rosado Airport;BR;76;SA
57;DNP;Tulsipur Airport;NP;2100;AS
58;CIY;Comiso Airport;IT;623;EU
59;SBH;Gustaf III Airport;BL;49;NA
60;WHF;Wadi Halfa Airport;SD;961;AF
61;XSD;Tonopah Test Range Airport;US;5549;NA
62;TTL;Turtle Island Seaplane Base;FJ;0;OC
63;YES;Yasouj Airport;IR;5939;AS
64;FOM;Foumban Nkounja Airport;CM;3963;AF
65;NTD;Point Mugu Naval Air Station (Naval Base Ventura Co);US;13;NA
66;LUP;Kalaupapa Airport;US;24;NA
67;BCG;Bemichi Airport;GY;94;SA
68;SXL;Sligo Airport;IE;11;EU
69;GOZ;Gorna Oryahovitsa Airport;BG;285;EU
70;VCL;Chu Lai International Airport;VN;10;AS
71;LKL;Banak Airport;NO;25;EU
72;CTZ;Sampson County Airport;US;148;NA
73;DLH;Duluth International Airport;US;1428;NA
74;QLR;Monte Real Air Base;PT;187;EU
75;LGI;Deadman's Cay Airport;BS;9;NA
76;MHK;Manhattan Regional Airport;US;1057;NA
77;YQD;The Pas Airport;CA;887;NA
78;PEC;Pelican Seaplane Base;US;0;NA
79;ICS;Cascade Airport;US;4742;NA
80;SQL;San Carlos Airport;US;5;NA
81;BBD;Curtis Field;US;1827;NA
82;ILA;Illaga Airport;ID;7989;AS
83;MPK;Mokpo Airport;KR;23;AS
84;GVR;Coronel Altino Machado de Oliveira Airport;BR;561;SA
85;ESS;Essen Mulheim Airport;DE;424;EU
86;KDW;Victoria Reservoir Seaplane Base;LK;1402;AS
87;SJU;Luis Munoz Marin International Airport;PR;9;NA
88;CRU;Lauriston Airport;GD;5;NA
89;SVF;Savé Airport;BJ;597;AF
90;TSH;Tshikapa Airport;CD;1595;AF
91;DWC;Al Maktoum International Airport;AE;114;AS
92;CXM;Camaxilo Airport;AO;3957;AF
93;HBX;Hubli Airport;IN;2171;AS
94;MBP;Moyobamba Airport;PE;2749;SA
95;SIL;Sila Airport;PG;2230;OC
96;MXW;Mandalgobi Airport;MN;4550;AS
97;VTG;Vung Tau Airport;VN;13;AS
98;PPW;Papa Westray Airport;GB;91;EU
99;SIO;Smithton Airport;AU;31;OC
100;LVO;Laverton Airport;AU;1530;OC
101;MYB;Mayumba Airport;GA;13;AF
102;PSA;Pisa International Airport;IT;6;EU
103;YGE;Gorge Harbour Seaplane Base;CA;0;NA
104;GBI;Auxiliary Airfield;BS;8;NA
105;WKB;Warracknabeal Airport;AU;397;OC
106;BNQ;Baganga airport;PH;42;AS
107;EDI;Edinburgh Airport;GB;135;EU
108;BMB;Bumbar Airport;CD;;AF
109;BBK;Kasane Airport;BW;3289;AF
110;VIX;Eurico de Aguiar Salles Airport;BR;11;SA
111;DIA;Doha International Airport;QA;35;AS
112;CBR;Canberra International Airport;AU;1886;OC
113;FDH;Friedrichshafen Airport;DE;1367;EU
114;DAK;Dakhla Airport;EG;613;AF
115;DEP;Daporijo Airport;IN;750;AS
116;TNS;Tungsten (Cantung) Airport;CA;3500;NA
117;JIA;Juína Airport;BR;1083;SA
118;UMU;Umuarama Airport;BR;1558;SA
119;NJC;Nizhnevartovsk Airport;RU;177;AS
120;KDP;Kandep Airport;PG;7710;OC
121;EJH;Al Wajh Domestic Airport;SA;66;AS
122;KEQ;Kebar Airport;ID;2050;AS
123;TEL;Telupid Airport;MY;343;AS
124;CKN;Crookston Municipal Kirkwood Field;US;899;NA
125;BWL;Earl Henry Airport;US;1054;NA
126;ADM;Ardmore Municipal Airport;US;777;NA
127;SFJ;Kangerlussuaq Airport;GL;165;NA
128;WLW;Willows Glenn County Airport;US;141;NA
129;NDI;Namudi Airport;PG;1044;OC
130;RNA;Ulawa Airport;SB;40;OC
131;ADB;Adnan Menderes International Airport;TR;412;AS
132;PBJ;Tavie Airport;VU;160;OC
133;SGM;San Ignacio Airport;MX;800;NA
134;SFN;Sauce Viejo Airport;AR;55;SA
135;MSQ;Minsk National Airport;BY;670;EU
136;IDI;Indiana County/Jimmy Stewart Fld/ Airport;US;1405;NA
137;NQA;Millington-Memphis Airport;US;320;NA
138;APU;Captain João Busse Airport;BR;2641;SA
139;GRL;Garasa Airport;PG;2539;OC
140;RVS;Richard Lloyd Jones Jr Airport;US;638;NA
141;FRA;Frankfurt am Main Airport;DE;364;EU
142;CYI;Chiayi Airport;TW;85;AS
143;PNG;Paranaguá Airport;BR;16;SA
144;YCG;Castlegar/West Kootenay Regional Airport;CA;1624;NA
145;LAG;La Guaira Airport;VE;2569;SA
146;DNU;Dinangat Airport;PG;5309;OC
147;JJU;Qaqortoq Heliport;GL;53;NA
148;HAJ;Hannover Airport;DE;183;EU
149;0;São Joaquim Airport;BR;4462;SA
150;GBM;Garbaharey Airport;SO;755;AF
151;ALG;Houari Boumediene Airport;DZ;82;AF
152;LRF;Little Rock Air Force Base;US;311;NA
153;BEJ;Kalimarau Airport;ID;59;AS
154;PKC;Yelizovo Airport;RU;131;AS
155;TGI;Tingo Maria Airport;PE;2010;SA
156;MMK;Murmansk Airport;RU;266;EU
157;AHF;Arapahoe Municipal Airport;US;2270;NA
158;LTK;Bassel Al-Assad International Airport;SY;157;AS
159;WYA;Whyalla Airport;AU;41;OC
160;LVD;Lime Village Airport;US;552;NA
161;NZY;North Island Naval Air Station-Halsey Field;US;26;NA
162;PTH;Port Heiden Airport;US;95;NA
163;KBU;Gusti Syamsir Alam Airport;ID;4;AS
164;LEF;Lebakeng Airport;LS;6000;AF
165;OLN;Colonia Sarmiento Airport;AR;877;SA
166;GHC;Great Harbour Cay Airport;BS;18;NA
167;SLU;George F. L. Charles Airport;LC;22;NA
168;BCS;Southern Seaplane Airport;US;;NA
169;RTN;Raton Municipal-Crews Field;US;6352;NA
170;ESU;Mogador Airport;MA;384;AF
171;PSE;Mercedita Airport;PR;29;NA
172;DUC;Halliburton Field;US;1114;NA
173;KXE;P C Pelser Airport;ZA;4444;AF
174;HOO;Nhon Co Airfield;VN;2270;AS
175;ECP;Northwest Florida Beaches International Airport;US;69;NA
176;MPT;Maliana Airport;TL;;AS
177;ERC;Erzincan Airport;TR;3783;AS
178;KHK;Khark Island Airport;IR;17;AS
179;KEI;Kepi Airport;ID;67;AS
180;ELW;Ellamar Seaplane Base;US;0;NA
181;PYV;Yaviza Airport;PA;75;NA
182;JNJ;Ja'Aluni Airport;OM;560;AS
183;MNB;Muanda Airport;CD;89;AF
184;EGI;Duke Field;US;191;NA
185;RIG;Rio Grande Airport;BR;27;SA
186;CMA;Cunnamulla Airport;AU;630;OC
187;LTN;London Luton Airport;GB;526;EU
188;INO;Inongo Airport;CD;1040;AF
189;ARM;Armidale Airport;AU;3556;OC
190;SJF;Cruz Bay Seaplane Base;VI;0;NA
191;GXG;Negage Airport;AO;4105;AF
192;BBI;Biju Patnaik Airport;IN;138;AS
193;FDF;Martinique Aimé Césaire International Airport;MQ;16;NA
194;WLA;Wallal Airport;AU;;OC
195;TZC;Tuscola Area Airport;US;701;NA
196;PNY;Pondicherry Airport;IN;134;AS
197;PBX;Fazenda Piraguassu Airport;BR;705;SA
198;IDH;Idaho County Airport;US;3314;NA
199;TOA;Zamperini Field;US;103;NA
200;SHB;Nakashibetsu Airport;JP;234;AS
201;RMY;Mariposa Yosemite Airport;US;2254;NA
202;DZA;Dzaoudzi Pamandzi International Airport;YT;23;AF
203;YPY;Fort Chipewyan Airport;CA;761;NA
204;BZV;Maya-Maya Airport;CG;1048;AF
205;LXU;Lukulu Airport;ZM;3480;AF
206;MKU;Makokou Airport;GA;1726;AF
207;EAL;Elenak Airport;MH;16;OC
208;0;Morro do Chapéu Airport;BR;3609;SA
209;OGL;Eugene F. Correira International Airport;GY;10;SA
210;KMC;King Khaled Military City Airport;SA;1352;AS
211;IKK;Greater Kankakee Airport;US;630;NA
212;ARN;Stockholm-Arlanda Airport;SE;137;EU
213;SHH;Shishmaref Airport;US;12;NA
214;YBF;Bamfield Seaplane Base;CA;0;NA
215;JKV;Cherokee County Airport;US;677;NA
216;VAT;Vatomandry Airport;MG;39;AF
217;AJU;Santa Maria Airport;BR;23;SA
218;QLD;Blida Airport;DZ;535;AF
219;MIV;Millville Municipal Airport;US;85;NA
220;SOI;South Molle Island Helipad;AU;15;OC
221;VGO;Vigo Airport;ES;856;EU
222;YFO;Flin Flon Airport;CA;997;NA
223;MWT;Moolawatana Airport;AU;265;OC
224;XDJ;Djibo Airport;BF;1001;AF
225;CET;Cholet Le Pontreau Airport;FR;443;EU
226;SZM;Sesriem Airstrip;NA;2454;AF
227;CWL;Cardiff International Airport;GB;220;EU
228;BOA;Boma Airport;CD;26;AF
229;HBK;Holbrook Municipal Airport;US;5262;NA
230;MDR;Medfra Airport;US;435;NA
231;SMF;Sacramento International Airport;US;27;NA
232;BDN;Talhar Airport;PK;28;AS
233;MVR;Salak Airport;CM;1390;AF
234;XXN;Riyadh Air Base;SA;2082;AS
235;SAG;Shirdi Airport;IN;1926;AS
236;WML;Malaimbandy Airport;MG;597;AF
237;FAQ;Frieda River Airport;PG;217;OC
238;IBE;Perales Airport;CO;2999;SA
239;MIZ;Mainoru Airstrip;AU;365;OC
240;PHA;Phan Rang Airport;VN;101;AS
241;EYP;El Yopal Airport;CO;1028;SA
242;CFG;Jaime Gonzalez Airport;CU;102;NA
243;MON;Mount Cook Airport;NZ;2153;OC
244;GFK;Grand Forks International Airport;US;845;NA
245;SSN;Seoul Air Base (K-16);KR;92;AS
246;HAH;Prince Said Ibrahim International Airport;KM;93;AF
247;CNH;Claremont Municipal Airport;US;545;NA
248;STB;Santa Bárbara del Zulia Airport;VE;32;SA
249;PBD;Porbandar Airport;IN;23;AS
250;SAW;Sabiha Gökçen International Airport;TR;312;AS
251;ELE;EL Real Airport;PA;65;NA
252;IRI;Iringa Airport;TZ;4678;AF
253;TKY;Turkey Creek Airport;AU;;OC
254;KHD;Khoram Abad Airport;IR;3782;AS
255;KSK;Karlskoga Airport;SE;400;EU
256;URZ;Orūzgān Airport;AF;6725;AS
257;WOE;Woensdrecht Air Base;NL;63;EU
258;SZL;Whiteman Air Force Base;US;870;NA
259;TRA;Tarama Airport;JP;36;AS
260;TAB;Tobago-Crown Point Airport;TT;38;NA
261;BDB;Bundaberg Airport;AU;107;OC
262;YHD;Dryden Regional Airport;CA;1354;NA
263;HAK;Haikou Meilan International Airport;CN;75;AS
264;PPH;Perai Tepuy Airport;VE;2797;SA
265;MSX;Mossendjo Airport;CG;1519;AF
266;TEA;Tela Airport;HN;7;NA
267;TTT;Taitung Airport;TW;143;AS
268;INM;Innamincka Airport;AU;54;OC
269;BES;Brest Bretagne Airport;FR;325;EU
270;KAP;Kapanga Airport;CD;3025;AF
271;BUX;Bunia Airport;CD;4045;AF
272;GOM;Goma International Airport;CD;5089;AF
273;GKT;Gatlinburg-Pigeon Forge Airport;US;1014;NA
274;VNA;Saravane Airport;LA;574;AS
275;KTE;Kerteh Airport;MY;18;AS
276;YAO;Yaoundé Airport;CM;2464;AF
277;ZBE;Zabreh Ostrava Airport;CZ;791;EU
278;QUG;Chichester/Goodwood Airport;GB;98;EU
279;PVZ;Casement Airport;US;699;NA
280;ETR;Santa Rosa International Airport;EC;20;SA
281;XJD;Al Udeid Air Base;QA;130;AS
282;BPC;Bamenda Airport;CM;4065;AF
283;PYM;Plymouth Municipal Airport;US;148;NA
284;GOG;Gobabis Airport;NA;4731;AF
285;RDA;Rockhampton Downs Airport;AU;;OC
286;JOK;Yoshkar-Ola Airport;RU;348;EU
287;WTE;Wotje Atoll Airport;MH;4;OC
288;CDY;Cagayan de Sulu Airport;PH;;AS
289;DLU;Dali Airport;CN;7050;AS
290;SXB;Strasbourg Airport;FR;505;EU
291;EBL;Erbil International Airport;IQ;1341;AS
292;PYY;Mae Hong Son Airport;TH;1271;AS
293;PPQ;Paraparaumu Airport;NZ;22;OC
294;KCD;Kamur Airport;ID;25;AS
295;GNR;Dr. Arturo H. Illia Airport;AR;852;SA
296;MZI;Mopti Airport;ML;906;AF
297;LFI;Langley Air Force Base;US;11;NA
298;FAV;Fakarava Airport;PF;13;OC
299;MHD;Mashhad International Airport;IR;3263;AS
300;JCI;New Century Aircenter Airport;US;1087;NA
301;SSQ;La Sarre Airport;CA;1048;NA
302;CPX;Benjamin Rivera Noriega Airport;PR;49;NA
303;ARE;Antonio Nery Juarbe Pol Airport;PR;23;NA
304;SHH;Shishmaref Airport;US;12;NA
305;MLI;Quad City International Airport;US;590;NA
306;BTE;Sherbro International Airport;SL;14;AF
307;OVR;Olavarria Airport;AR;551;SA
308;RZA;Santa Cruz Airport;AR;364;SA
309;VHZ;Vahitahi Airport;PF;9;OC
310;RSB;Roseberth Airport;AU;55;OC
311;IXG;Belgaum Airport;IN;2487;AS
312;GFR;Granville Airport;FR;45;EU
313;PHQ;The Monument Airport;AU;949;OC
314;PGF;Perpignan-Rivesaltes (Llabanère) Airport;FR;144;EU
315;FNT;Bishop International Airport;US;782;NA
316;SZK;Skukuza Airport;ZA;1020;AF
317;GZW;Qazvin Airport;IR;4184;AS
318;QCP;Currais Novos Airport;BR;1148;SA
319;LMN;Limbang Airport;MY;14;AS
320;PNA;Pamplona Airport;ES;1504;EU
321;TSN;Tianjin Binhai International Airport;CN;10;AS
322;MGN;Baracoa Airport;CO;178;SA
323;XBX;Bernay – St Martin Airport;FR;554;EU
324;AIM;Ailuk Airport;MH;;OC
325;KTA;Karratha Airport;AU;29;OC
326;CMV;Coromandel Aerodrome;NZ;10;OC
327;LIN;Milano Linate Airport;IT;353;EU
328;DSD;La Désirade Airport;GP;10;NA
329;JCM;Jacobina Airport;BR;1640;SA
